date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2013-12-20,1783,6284755,287594609,44.1,48.5,43.1,47.5,0.0,4245
2013-12-23,1783,5095403,247305037,46.5,51.5,46.2,50.3,2.8,3136
2013-12-24,1783,3885822,205463288,51.0,54.3,50.7,53.3,3.0,2313
2013-12-25,1783,3484495,185278935,53.5,56.0,51.5,51.9,-1.4,2248
2013-12-26,1783,2048269,105443564,52.5,53.1,50.3,51.2,-0.7,1365
2013-12-27,1783,2660900,139904658,52.1,53.3,51.2,52.2,1.0,1687
2013-12-30,1783,2133205,109982555,52.4,52.7,50.8,51.0,-1.2,1354
2013-12-31,1783,2722998,144313690,52.2,54.0,51.5,53.1,2.1,1704
2014-01-02,1783,2051600,114664180,54.2,56.8,54.0,56.8,3.7,1053
2014-01-03,1783,4226163,251168806,60.7,60.7,57.5,59.9,3.1,2463
2014-01-06,1783,2414894,138655258,59.2,59.2,56.6,57.0,-2.9,1652
2014-01-07,1783,2086343,122998124,56.8,60.0,56.8,58.4,1.4,1374
2014-01-08,1783,2174426,125521476,59.0,59.4,56.8,58.0,-0.4,1456
2014-01-09,1783,1876110,105429180,58.3,58.3,54.0,55.3,-2.7,1259
2014-01-10,1783,1426300,78985300,55.6,56.5,54.2,55.4,0.1,983
2014-01-13,1783,1445001,77597357,56.0,56.5,52.3,52.8,-2.6,1059
2014-01-14,1783,793001,42491955,52.5,54.5,51.7,53.5,0.7,633
2014-01-15,1783,688800,36516853,53.7,53.7,52.6,52.6,-0.9,474
2014-01-16,1783,1099955,56925106,52.5,53.0,51.0,51.1,-1.5,791
2014-01-17,1783,820886,42708281,51.0,52.8,51.0,52.1,1.0,640
2014-01-20,1783,456678,23591813,52.1,52.6,51.5,51.5,-0.6,351
2014-01-21,1783,603942,30741870,51.5,52.0,50.3,50.5,-1.0,431
2014-01-22,1783,936998,49296291,50.8,53.5,50.3,53.0,2.5,712
2014-01-23,1783,548638,28755492,53.0,53.5,51.9,52.4,-0.6,411
2014-01-24,1783,291091,15206532,52.6,52.8,51.9,52.0,-0.4,236
2014-01-27,1783,301197,15518180,50.2,52.9,50.2,51.7,-0.3,255
2014-02-05,1783,249032,12696035,50.2,51.4,50.2,51.2,-0.5,213
2014-02-06,1783,795600,42386236,52.5,53.8,51.5,53.8,2.6,604
2014-02-07,1783,614536,32744608,54.5,54.5,52.2,52.5,-1.3,468
2014-02-10,1783,409022,21504954,52.9,53.2,52.1,52.2,-0.3,295
2014-02-11,1783,550003,29294559,52.2,53.8,52.2,53.2,1.0,371
2014-02-12,1783,627040,33438916,53.8,54.2,52.5,53.4,0.2,431
2014-02-13,1783,362200,19182699,53.8,53.8,52.5,52.5,-0.9,295
2014-02-14,1783,780200,41738160,53.0,54.2,52.5,53.3,0.8,538
2014-02-17,1783,2703547,152769479,54.2,57.0,53.7,57.0,3.7,1493
2014-02-18,1783,4864412,288467996,57.9,60.6,57.8,60.2,3.2,2914
2014-02-19,1783,3373529,208355104,60.0,63.7,58.8,60.7,0.5,2211
2014-02-20,1783,1927300,115625447,60.7,61.6,58.9,60.0,-0.7,1349
2014-02-21,1783,2425349,150453741,60.7,63.0,60.2,62.8,2.8,1589
2014-02-24,1783,1865529,115909769,63.8,63.8,61.1,61.1,-1.7,1258
